archivo,grasp_mejorado_secuencia,grasp_mejorado_costo,grasp_mejorado_tiempo,bks,gap_grasp_mejorado,gap_percent
cgl_17.catsp,"[0, 17, 2, 1, 3, 4, 5, 6, 7, 16, 8, 10, 9, 11, 12, 13, 14, 15]",3663.0,0.002276182174682617,4422.0,-759.0,-17.16417910447761
cgl_33.catsp,,inf,0.0049440860748291016,9073.0,inf,inf
cgl_76.catsp,,inf,0.014277935028076172,9399.0,inf,inf
cgl_107.catsp,"[62, 59, 67, 57, 68, 66, 58, 63, 65, 60, 75, 82, 77, 85, 79, 78, 81, 83, 76, 84, 86, 87, 80, 88, 61, 56, 71, 91, 72, 74, 89, 93, 90, 94, 95, 2, 4, 96, 7, 6, 5, 0, 1, 3, 73, 92, 64, 70, 69, 51, 53, 52, 54, 55, 107, 26, 28, 16, 17, 13, 12, 32, 36, 37, 38, 35, 33, 22, 24, 8, 11, 98, 99, 97, 10, 9, 25, 29, 19, 30, 20, 49, 18, 50, 27, 23, 14, 21, 48, 40, 34, 41, 39, 42, 31, 47, 45, 46, 44, 43, 15, 100, 101, 102, 103, 105, 106, 104]",8999.0,3.180406093597412,5515.0,3484.0,63.17316409791478
cgl_37.catsp,,inf,0.007745981216430664,4883.0,inf,inf
cgl_72.catsp,,inf,0.019730329513549805,7664.0,inf,inf
cgl_70.catsp,,inf,0.01602792739868164,9235.0,inf,inf
cgl_32.catsp,"[3, 2, 1, 32, 7, 8, 10, 6, 9, 11, 15, 12, 14, 16, 18, 13, 19, 20, 17, 21, 22, 23, 24, 25, 26, 4, 5, 27, 29, 31, 0, 28, 30]",3243.0,0.10859394073486328,4035.0,-792.0,-19.62825278810409
cgl_48.catsp,,inf,0.00830078125,9275.0,inf,inf
cgl_70b.catsp,,inf,0.02602076530456543,5454.0,inf,inf
cgl_88.catsp,,inf,0.026597261428833008,10431.0,inf,inf
cgl_51.catsp,,inf,0.00812220573425293,12498.0,inf,inf
cgl_48b.catsp,"[24, 7, 0, 1, 2, 4, 3, 32, 34, 37, 38, 39, 36, 35, 33, 40, 29, 43, 44, 42, 45, 31, 30, 5, 6, 41, 27, 28, 46, 47, 48, 25, 26, 17, 16, 18, 20, 19, 21, 23, 22, 11, 12, 15, 13, 14, 10, 8, 9]",5269.0,0.29439783096313477,4271.0,998.0,23.36689299929759
cgl_73.catsp,,inf,0.020022153854370117,6263.0,inf,inf
cgl_57.catsp,"[34, 57, 7, 9, 10, 11, 8, 5, 6, 4, 13, 12, 14, 15, 16, 0, 1, 2, 3, 31, 27, 29, 30, 26, 28, 25, 32, 21, 19, 20, 22, 23, 24, 17, 18, 33, 35, 37, 40, 39, 51, 42, 44, 45, 43, 48, 46, 49, 50, 47, 38, 41, 36, 52, 53, 54, 56, 55]",9237.0,0.06480002403259277,7999.0,1238.0,15.476934616827103
