archivo,grasp_mejorado_secuencia,grasp_mejorado_costo,grasp_mejorado_tiempo,bks,gap_grasp_mejorado,gap_percent
cgl_66.catsp,"[46, 48, 49, 66, 1, 2, 0, 3, 5, 13, 21, 24, 4, 16, 23, 14, 18, 30, 27, 31, 29, 8, 11, 12, 6, 19, 25, 17, 26, 22, 28, 7, 15, 20, 32, 33, 9, 10, 34, 35, 36, 37, 40, 41, 38, 39, 42, 43, 44, 45, 50, 47, 52, 51, 53, 59, 60, 61, 62, 63, 64, 65, 58, 54, 56, 57, 55]",9350.0,0.1505110263824463,8217.0,1133.0,13.788487282463185
cgl_38.catsp,"[19, 11, 8, 16, 10, 13, 9, 7, 12, 6, 14, 22, 23, 21, 20, 15, 26, 18, 28, 29, 24, 30, 17, 31, 27, 33, 34, 32, 25, 38, 1, 0, 35, 36, 37, 3, 2, 4, 5]",4495.0,0.07383298873901367,3887.0,608.0,15.64188320041163
cgl_60.catsp,,inf,0.011861085891723633,10144.0,inf,inf
cgl_51b.catsp,"[28, 26, 27, 23, 24, 25, 21, 22, 6, 4, 9, 16, 14, 13, 8, 5, 3, 2, 0, 1, 29, 30, 31, 32, 33, 34, 35, 10, 7, 11, 12, 15, 17, 20, 18, 19, 51, 36, 37, 38, 39, 40, 41, 42, 46, 47, 50, 48, 49, 43, 44, 45]",5218.0,0.23586201667785645,4146.0,1072.0,25.85624698504583
cgl_44.catsp,,inf,0.00608515739440918,9418.0,inf,inf
cgl_81.catsp,,inf,0.026168107986450195,6816.0,inf,inf
cgl_58.catsp,"[10, 17, 21, 13, 5, 9, 23, 24, 11, 19, 7, 20, 26, 25, 22, 40, 36, 41, 38, 35, 44, 46, 33, 47, 39, 50, 37, 48, 42, 52, 53, 49, 34, 54, 51, 43, 6, 12, 15, 8, 18, 16, 14, 32, 45, 55, 56, 57, 58, 27, 28, 29, 30, 31, 4, 3, 2, 0, 1]",3753.0,1.8142857551574707,3652.0,101.0,2.7656078860898137
cgl_43.catsp,"[42, 35, 15, 19, 17, 23, 21, 16, 18, 24, 14, 28, 26, 27, 30, 22, 31, 29, 32, 20, 25, 34, 33, 1, 2, 13, 11, 4, 3, 6, 7, 8, 5, 9, 12, 10, 43, 0, 36, 37, 38, 40, 41, 39]",3931.0,0.0459589958190918,4899.0,-968.0,-19.759134517248416
cgl_47.catsp,,inf,0.013091802597045898,5046.0,inf,inf
cgl_26.catsp,,inf,0.0030710697174072266,5255.0,inf,inf
cgl_114.catsp,,inf,0.06345987319946289,8685.0,inf,inf
cgl_45.catsp,,inf,0.004422187805175781,8154.0,inf,inf
cgl_78.catsp,,inf,0.015883207321166992,8985.0,inf,inf
cgl_28.catsp,"[11, 4, 6, 10, 5, 9, 8, 3, 0, 1, 7, 25, 26, 27, 24, 23, 22, 21, 2, 28, 14, 13, 15, 16, 17, 18, 19, 12, 20]",2219.0,0.0522458553314209,2833.0,-614.0,-21.673138016237203
cgl_50.catsp,,inf,0.004415988922119141,6155.0,inf,inf
