archivo,greedy_secuencia,greedy_costo,greedy_tiempo,neighbour_secuencia,neighbour_costo,neighbour_tiempo,grasp_secuencia,grasp_costo,grasp_tiempo,bks,gap_greedy,gap_neighbour,gap_grasp
cgl_66.catsp,"[0, 66, 1, 2, 3, 9, 10, 32, 33, 20, 4, 13, 15, 17, 19, 21, 24, 25, 5, 6, 7, 28, 14, 22, 23, 27, 29, 31, 16, 18, 26, 30, 8, 11, 12, 34, 35, 36, 37, 40, 41, 38, 39, 42, 43, 44, 45, 46, 47, 48, 49, 50, 52, 51, 53, 58, 59, 60, 62, 61, 54, 56, 57, 55, 63, 64, 65]",3005470.0,0.0003781318664550781,"[0, 66, 1, 2, 3, 9, 10, 32, 33, 20, 4, 13, 15, 17, 19, 21, 24, 25, 5, 6, 7, 28, 14, 22, 23, 27, 29, 31, 16, 18, 26, 30, 8, 11, 12, 34, 35, 36, 37, 40, 41, 38, 39, 42, 43, 44, 45, 46, 47, 48, 49, 50, 52, 51, 53, 58, 59, 60, 62, 61, 54, 56, 57, 55, 63, 64, 65]",inf,0.012996912002563477,,inf,0.2915670871734619,8217.0,2997253.0,inf,inf
cgl_38.catsp,"[0, 38, 1, 2, 4, 5, 3, 36, 37, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",1002019.0,0.00013685226440429688,"[0, 1, 38, 2, 4, 5, 3, 36, 37, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",3592.0,0.003329038619995117,"[37, 36, 3, 2, 4, 5, 38, 27, 34, 33, 28, 32, 30, 31, 23, 26, 29, 25, 16, 22, 6, 12, 21, 20, 10, 7, 9, 19, 13, 18, 14, 15, 11, 17, 8, 24, 35, 0, 1]",2537.0,0.36009812355041504,3887.0,998132.0,-295.0,-1350.0
cgl_60.catsp,"[0, 60, 1, 2, 3, 4, 5, 6, 7, 9, 10, 8, 12, 13, 14, 15, 16, 17, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 18, 43, 19, 20, 42, 21, 22, 23, 24, 25, 26, 27, 41, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 11]",1006992.0,0.0003018379211425781,"[0, 60, 1, 2, 3, 4, 5, 6, 7, 9, 10, 8, 12, 13, 14, 15, 16, 17, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 18, 43, 19, 20, 42, 21, 22, 23, 24, 25, 26, 27, 41, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 11]",inf,0.007402896881103516,,inf,0.15012216567993164,10144.0,996848.0,inf,inf
cgl_51b.catsp,"[0, 1, 51, 2, 3, 29, 30, 31, 32, 33, 34, 49, 42, 43, 44, 45, 46, 47, 50, 48, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 20, 18, 19, 21, 22, 25, 23, 24, 26, 27, 28, 35, 36, 37, 38, 39, 40, 41]",2003586.0,0.0002079010009765625,"[0, 1, 51, 2, 3, 29, 30, 31, 32, 33, 34, 49, 42, 43, 44, 45, 46, 47, 50, 48, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 20, 18, 19, 21, 22, 25, 23, 24, 26, 27, 28, 35, 36, 37, 38, 39, 40, 41]",inf,0.0033469200134277344,"[8, 12, 16, 20, 18, 19, 21, 22, 25, 23, 24, 27, 26, 28, 51, 29, 0, 1, 3, 2, 9, 5, 4, 7, 6, 11, 10, 15, 13, 14, 17, 38, 36, 37, 40, 41, 39, 35, 34, 33, 31, 30, 32, 49, 42, 43, 50, 48, 47, 46, 44, 45]",4403.0,0.315720796585083,4146.0,1999440.0,inf,257.0
cgl_44.catsp,"[0, 44, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 13, 15, 16, 17, 18, 20, 19, 21, 22, 23, 24, 33, 34, 43, 35, 36, 37, 38, 39, 40, 41, 42, 25, 26, 27, 28, 30, 31, 29, 32]",2008516.0,0.0005040168762207031,"[0, 44, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 13, 15, 16, 17, 18, 20, 19, 21, 22, 23, 24, 33, 34, 43, 35, 36, 37, 38, 39, 40, 41, 42, 25, 26, 27, 28, 30, 31, 29, 32]",inf,0.0026509761810302734,,inf,0.06750798225402832,9418.0,1999098.0,inf,inf
cgl_81.catsp,"[0, 81, 1, 2, 3, 4, 5, 76, 77, 78, 79, 80, 72, 73, 74, 75, 53, 54, 55, 56, 57, 69, 70, 71, 58, 59, 60, 68, 61, 62, 63, 50, 51, 52, 64, 67, 65, 66, 6, 7, 8, 14, 15, 16, 34, 17, 18, 19, 20, 35, 36, 37, 38, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 22, 23, 21, 9, 39, 10, 11, 12, 13, 46, 47, 48, 49, 43, 44, 45, 40, 41, 42]",2010613.0,0.0005092620849609375,"[0, 81, 1, 2, 3, 4, 5, 76, 77, 78, 79, 80, 72, 73, 74, 75, 53, 54, 55, 56, 57, 69, 70, 71, 58, 59, 60, 68, 61, 62, 63, 50, 51, 52, 64, 67, 65, 66, 6, 7, 8, 14, 15, 16, 34, 17, 18, 19, 20, 35, 36, 37, 38, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 22, 23, 21, 9, 39, 10, 11, 12, 13, 46, 47, 48, 49, 43, 44, 45, 40, 41, 42]",inf,0.013939857482910156,,inf,0.5278348922729492,6816.0,2003797.0,inf,inf
cgl_58.catsp,"[0, 1, 58, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 27, 28, 29, 30, 31]",4199.0,0.00028967857360839844,"[0, 1, 58, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 26, 25, 24, 23, 22, 56, 57, 32, 55, 54, 53, 52, 51, 50, 49, 48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33, 27, 28, 29, 30, 31]",3921.0,0.03435230255126953,"[22, 14, 21, 23, 17, 25, 8, 6, 12, 7, 24, 18, 9, 26, 13, 19, 15, 5, 16, 10, 11, 20, 33, 44, 35, 52, 45, 32, 37, 38, 43, 39, 36, 41, 46, 47, 49, 40, 34, 42, 53, 55, 51, 50, 48, 54, 56, 57, 58, 31, 30, 27, 29, 28, 4, 3, 2, 0, 1]",2908.0,0.7227909564971924,3652.0,547.0,269.0,-744.0
cgl_43.catsp,"[0, 36, 43, 1, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 2, 13, 11, 3, 4, 5, 6, 7, 8, 9, 12, 10, 37, 38, 40, 41, 39, 42]",2002458.0,0.0001628398895263672,"[0, 36, 43, 1, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 2, 13, 11, 3, 4, 5, 6, 7, 8, 9, 12, 10, 37, 38, 40, 41, 39, 42]",inf,0.003381967544555664,"[36, 0, 37, 38, 40, 41, 39, 43, 42, 19, 23, 33, 35, 30, 25, 15, 26, 34, 32, 24, 18, 31, 29, 28, 27, 14, 20, 22, 16, 17, 21, 1, 2, 13, 11, 5, 6, 4, 8, 3, 7, 9, 12, 10]",3931.0,0.46964597702026367,4899.0,1997559.0,inf,-968.0
cgl_47.catsp,"[0, 1, 2, 3, 4, 5, 6, 7, 47, 8, 9, 32, 33, 34, 35, 36, 37, 38, 39, 42, 43, 44, 45, 46, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 28, 31, 30, 40, 41]",2004705.0,0.0001819133758544922,"[0, 1, 2, 3, 4, 5, 6, 7, 47, 8, 9, 32, 33, 34, 35, 36, 37, 38, 39, 42, 43, 44, 45, 46, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 28, 31, 30, 40, 41]",inf,0.003261089324951172,"[35, 36, 37, 38, 39, 34, 33, 32, 9, 8, 3, 6, 2, 5, 4, 7, 0, 1, 12, 14, 11, 23, 15, 13, 16, 10, 18, 22, 17, 20, 19, 24, 21, 25, 27, 26, 29, 28, 31, 30, 47, 40, 41, 42, 43, 44, 45, 46]",4874.0,0.6935470104217529,5046.0,1999659.0,inf,-172.0
cgl_26.catsp,"[0, 26, 1, 18, 20, 19, 2, 3, 4, 16, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 21, 22, 23, 24, 25]",3003386.0,6.604194641113281e-05,"[0, 26, 1, 18, 20, 19, 2, 3, 4, 16, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 21, 22, 23, 24, 25]",inf,0.0003898143768310547,"[3, 1, 21, 20, 19, 18, 0, 4, 2, 9, 13, 15, 14, 10, 6, 11, 12, 7, 8, 5, 16, 17, 26, 22, 23, 24, 25]",5361.0,0.03284716606140137,5255.0,2998131.0,inf,106.0
