archivo,grasp_mejorado_secuencia,grasp_mejorado_costo,grasp_mejorado_tiempo,bks,gap_grasp_mejorado,gap_percent
cgl_66.catsp,"[61, 66, 3, 6, 5, 8, 12, 11, 14, 27, 29, 26, 30, 22, 23, 16, 4, 21, 19, 24, 25, 15, 17, 18, 31, 28, 7, 13, 20, 9, 10, 32, 33, 34, 35, 36, 1, 2, 0, 37, 40, 41, 38, 39, 42, 43, 44, 45, 46, 47, 49, 50, 48, 52, 51, 53, 59, 62, 60, 63, 64, 65, 58, 54, 56, 57, 55]",7886.0,0.3293421268463135,8217.0,-331.0,-4.028234148716076
cgl_38.catsp,"[20, 9, 13, 16, 14, 18, 17, 7, 12, 19, 6, 8, 11, 23, 21, 24, 25, 15, 26, 29, 28, 10, 27, 30, 22, 33, 32, 31, 35, 38, 1, 0, 34, 36, 37, 3, 2, 4, 5]",4495.0,0.08481907844543457,3887.0,608.0,15.64188320041163
cgl_60.catsp,,inf,0.012215852737426758,10144.0,inf,inf
cgl_51b.catsp,"[32, 33, 34, 35, 9, 4, 12, 15, 13, 14, 16, 5, 10, 7, 11, 6, 8, 3, 0, 29, 28, 26, 27, 23, 24, 25, 22, 21, 20, 18, 19, 17, 36, 37, 38, 39, 40, 41, 51, 49, 42, 43, 44, 45, 46, 47, 50, 48, 31, 30, 1, 2]",5416.0,0.34817981719970703,4146.0,1270.0,30.631934394597206
cgl_44.catsp,,inf,0.0058100223541259766,8949.0,inf,inf
cgl_81.catsp,,inf,0.025961875915527344,6816.0,inf,inf
cgl_58.catsp,"[57, 56, 53, 34, 33, 49, 47, 44, 40, 51, 41, 32, 54, 38, 36, 45, 50, 7, 11, 8, 6, 17, 13, 5, 15, 20, 21, 23, 10, 18, 19, 26, 24, 12, 14, 25, 16, 9, 22, 46, 43, 39, 48, 52, 42, 37, 55, 35, 27, 28, 29, 30, 31, 4, 3, 2, 58, 0, 1]",2936.0,1.0537090301513672,3652.0,-716.0,-19.605695509309967
cgl_43.catsp,,inf,0.010532140731811523,4899.0,inf,inf
cgl_47.catsp,,inf,0.012820005416870117,5046.0,inf,inf
cgl_26.catsp,,inf,0.0033080577850341797,5255.0,inf,inf
cgl_114.catsp,,inf,0.0681910514831543,8685.0,inf,inf
cgl_45.catsp,"[41, 40, 38, 42, 45, 2, 3, 4, 1, 0, 12, 13, 14, 15, 28, 19, 21, 20, 22, 18, 23, 24, 25, 26, 27, 16, 17, 29, 30, 31, 32, 33, 34, 35, 36, 37, 39, 43, 44, 9, 10, 8, 11, 7, 5, 6]",8509.0,0.022049903869628906,7995.0,514.0,6.42901813633521
cgl_78.catsp,,inf,0.016555070877075195,8985.0,inf,inf
cgl_28.catsp,"[2, 21, 10, 4, 11, 6, 5, 8, 9, 25, 26, 27, 3, 0, 1, 7, 22, 23, 24, 28, 13, 15, 14, 16, 17, 18, 19, 12, 20]",2026.0,0.10423874855041504,2833.0,-807.0,-28.485704200494176
cgl_50.catsp,,inf,0.005071878433227539,5335.0,inf,inf
cgl_17.catsp,"[2, 0, 1, 3, 4, 5, 6, 17, 8, 9, 11, 10, 12, 13, 14, 15, 16, 7]",2670.0,0.010235071182250977,4422.0,-1752.0,-39.620081411126186
cgl_33.catsp,,inf,0.007620096206665039,9071.0,inf,inf
cgl_76.catsp,,inf,0.023834228515625,9399.0,inf,inf
cgl_107.catsp,,inf,0.057193756103515625,5515.0,inf,inf
cgl_37.catsp,,inf,0.00861501693725586,4883.0,inf,inf
cgl_72.catsp,,inf,0.018143892288208008,7664.0,inf,inf
cgl_70.catsp,,inf,0.0168149471282959,9235.0,inf,inf
cgl_32.catsp,"[1, 32, 9, 7, 11, 6, 10, 13, 14, 12, 16, 15, 18, 17, 19, 20, 8, 21, 22, 23, 24, 25, 26, 4, 5, 27, 3, 2, 31, 0, 29, 28, 30]",3053.0,0.09513998031616211,4035.0,-982.0,-24.337050805452293
cgl_48.catsp,,inf,0.008644819259643555,9187.0,inf,inf
cgl_70b.catsp,,inf,0.028522968292236328,5454.0,inf,inf
cgl_88.catsp,,inf,0.03339385986328125,10431.0,inf,inf
cgl_51.catsp,,inf,0.008847713470458984,12498.0,inf,inf
cgl_48b.catsp,"[24, 18, 20, 48, 9, 8, 10, 0, 1, 2, 7, 33, 34, 37, 35, 39, 36, 38, 32, 40, 3, 6, 4, 5, 41, 42, 43, 30, 31, 29, 45, 44, 27, 28, 46, 47, 25, 26, 16, 17, 19, 23, 21, 22, 11, 12, 14, 15, 13]",5902.0,0.18322396278381348,4271.0,1631.0,38.18777803793022
cgl_73.catsp,,inf,0.019806385040283203,6263.0,inf,inf
cgl_57.catsp,"[7, 10, 9, 8, 11, 57, 4, 5, 6, 12, 13, 14, 15, 18, 17, 24, 19, 20, 22, 23, 25, 3, 1, 2, 0, 16, 32, 31, 26, 27, 28, 29, 30, 21, 34, 35, 53, 52, 51, 42, 43, 44, 47, 46, 45, 49, 50, 48, 37, 38, 39, 40, 41, 36, 33, 54, 56, 55]",12265.0,0.03585481643676758,7999.0,4266.0,53.33166645830729
