archivo,greedy_secuencia,greedy_costo,greedy_tiempo,neighbour_secuencia,neighbour_costo,neighbour_tiempo,grasp_secuencia,grasp_costo,grasp_tiempo,bks,gap_greedy,gap_neighbour,gap_grasp
cgl_66.catsp,"[0, 66, 1, 2, 3, 9, 10, 32, 33, 20, 4, 13, 15, 17, 19, 21, 24, 25, 5, 6, 7, 28, 14, 22, 23, 27, 29, 31, 16, 18, 26, 30, 8, 11, 12, 34, 35, 36, 37, 40, 41, 38, 39, 42, 43, 44, 45, 46, 47, 48, 49, 50, 52, 51, 53, 58, 59, 60, 62, 61, 54, 56, 57, 55, 63, 64, 65]",3005470.0,0.0003657341003417969,"[0, 66, 1, 2, 3, 9, 10, 32, 33, 20, 4, 13, 15, 17, 19, 21, 24, 25, 5, 6, 7, 28, 14, 22, 23, 27, 29, 31, 16, 18, 26, 30, 8, 11, 12, 34, 35, 36, 37, 40, 41, 38, 39, 42, 43, 44, 45, 46, 47, 48, 49, 50, 52, 51, 53, 58, 59, 60, 62, 61, 54, 56, 57, 55, 63, 64, 65]",inf,0.008841991424560547,,inf,0.2597990036010742,8217.0,2997253.0,inf,inf
cgl_38.catsp,"[0, 38, 1, 2, 4, 5, 3, 36, 37, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",1002019.0,0.00012803077697753906,"[0, 1, 38, 2, 4, 5, 3, 36, 37, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",3592.0,0.0036411285400390625,"[4, 5, 2, 3, 37, 36, 6, 14, 13, 11, 19, 9, 10, 17, 8, 18, 16, 24, 12, 15, 20, 7, 23, 22, 27, 26, 25, 31, 28, 21, 29, 32, 30, 33, 34, 35, 0, 38, 1]",2315.0,0.48481202125549316,3887.0,998132.0,-295.0,-1572.0
cgl_60.catsp,"[0, 60, 1, 2, 3, 4, 5, 6, 7, 9, 10, 8, 12, 13, 14, 15, 16, 17, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 18, 43, 19, 20, 42, 21, 22, 23, 24, 25, 26, 27, 41, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 11]",1006992.0,0.0002830028533935547,"[0, 60, 1, 2, 3, 4, 5, 6, 7, 9, 10, 8, 12, 13, 14, 15, 16, 17, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 18, 43, 19, 20, 42, 21, 22, 23, 24, 25, 26, 27, 41, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 11]",inf,0.0070269107818603516,,inf,0.13565611839294434,10144.0,996848.0,inf,inf
cgl_51b.catsp,"[0, 1, 51, 2, 3, 29, 30, 31, 32, 33, 34, 49, 42, 43, 44, 45, 46, 47, 50, 48, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 20, 18, 19, 21, 22, 25, 23, 24, 26, 27, 28, 35, 36, 37, 38, 39, 40, 41]",2003586.0,0.0002219676971435547,"[0, 1, 51, 2, 3, 29, 30, 31, 32, 33, 34, 49, 42, 43, 44, 45, 46, 47, 50, 48, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 20, 18, 19, 21, 22, 25, 23, 24, 26, 27, 28, 35, 36, 37, 38, 39, 40, 41]",inf,0.0033609867095947266,,inf,0.19038701057434082,4146.0,1999440.0,inf,inf
cgl_44.catsp,"[0, 44, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 13, 15, 16, 17, 18, 20, 19, 21, 22, 23, 24, 33, 34, 43, 35, 36, 37, 38, 39, 40, 41, 42, 25, 26, 27, 28, 30, 31, 29, 32]",2008516.0,0.00016689300537109375,"[0, 44, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 13, 15, 16, 17, 18, 20, 19, 21, 22, 23, 24, 33, 34, 43, 35, 36, 37, 38, 39, 40, 41, 42, 25, 26, 27, 28, 30, 31, 29, 32]",inf,0.00215911865234375,,inf,0.06239485740661621,9418.0,1999098.0,inf,inf
cgl_81.catsp,"[0, 81, 1, 2, 3, 4, 5, 76, 77, 78, 79, 80, 72, 73, 74, 75, 53, 54, 55, 56, 57, 69, 70, 71, 58, 59, 60, 68, 61, 62, 63, 50, 51, 52, 64, 67, 65, 66, 6, 7, 8, 14, 15, 16, 34, 17, 18, 19, 20, 35, 36, 37, 38, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 22, 23, 21, 9, 39, 10, 11, 12, 13, 46, 47, 48, 49, 43, 44, 45, 40, 41, 42]",2010613.0,0.0005009174346923828,"[0, 81, 1, 2, 3, 4, 5, 76, 77, 78, 79, 80, 72, 73, 74, 75, 53, 54, 55, 56, 57, 69, 70, 71, 58, 59, 60, 68, 61, 62, 63, 50, 51, 52, 64, 67, 65, 66, 6, 7, 8, 14, 15, 16, 34, 17, 18, 19, 20, 35, 36, 37, 38, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 22, 23, 21, 9, 39, 10, 11, 12, 13, 46, 47, 48, 49, 43, 44, 45, 40, 41, 42]",inf,0.013957977294921875,,inf,0.5266768932342529,6816.0,2003797.0,inf,inf
cgl_58.catsp,"[0, 1, 58, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 27, 28, 29, 30, 31]",4199.0,0.00026702880859375,"[0, 1, 58, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 26, 25, 24, 23, 22, 56, 57, 32, 55, 54, 53, 52, 51, 50, 49, 48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33, 27, 28, 29, 30, 31]",3921.0,0.03096294403076172,"[8, 11, 9, 24, 12, 20, 17, 25, 10, 23, 19, 15, 18, 6, 13, 16, 7, 26, 5, 21, 14, 22, 35, 43, 32, 34, 44, 47, 37, 39, 38, 42, 48, 40, 36, 50, 41, 49, 45, 55, 52, 46, 33, 51, 53, 54, 56, 57, 58, 31, 30, 29, 27, 28, 4, 3, 2, 0, 1]",2905.0,0.5267579555511475,3652.0,547.0,269.0,-747.0
cgl_43.catsp,"[0, 36, 43, 1, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 2, 13, 11, 3, 4, 5, 6, 7, 8, 9, 12, 10, 37, 38, 40, 41, 39, 42]",2002458.0,0.00015497207641601562,"[0, 36, 43, 1, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 2, 13, 11, 3, 4, 5, 6, 7, 8, 9, 12, 10, 37, 38, 40, 41, 39, 42]",inf,0.0033440589904785156,"[2, 13, 11, 8, 6, 5, 4, 7, 3, 9, 12, 10, 24, 34, 28, 31, 32, 35, 23, 25, 26, 33, 30, 20, 27, 19, 16, 29, 17, 18, 21, 14, 15, 22, 1, 0, 36, 43, 42, 40, 37, 38, 41, 39]",4352.0,0.6479578018188477,4899.0,1997559.0,inf,-547.0
cgl_47.catsp,"[0, 1, 2, 3, 4, 5, 6, 7, 47, 8, 9, 32, 33, 34, 35, 36, 37, 38, 39, 42, 43, 44, 45, 46, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 28, 31, 30, 40, 41]",2004705.0,0.0001881122589111328,"[0, 1, 2, 3, 4, 5, 6, 7, 47, 8, 9, 32, 33, 34, 35, 36, 37, 38, 39, 42, 43, 44, 45, 46, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 28, 31, 30, 40, 41]",inf,0.0036439895629882812,"[8, 9, 33, 32, 35, 38, 39, 36, 34, 37, 40, 41, 47, 30, 31, 28, 29, 26, 27, 25, 16, 0, 3, 2, 5, 1, 4, 6, 7, 19, 22, 23, 21, 11, 13, 10, 14, 17, 20, 15, 24, 18, 12, 43, 42, 44, 45, 46]",4983.0,0.5090630054473877,5046.0,1999659.0,inf,-63.0
cgl_26.catsp,"[0, 26, 1, 18, 20, 19, 2, 3, 4, 16, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 21, 22, 23, 24, 25]",3003386.0,0.00011610984802246094,"[0, 26, 1, 18, 20, 19, 2, 3, 4, 16, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 21, 22, 23, 24, 25]",inf,0.0004260540008544922,"[2, 3, 4, 0, 1, 26, 15, 14, 13, 12, 6, 7, 5, 9, 10, 8, 11, 16, 17, 20, 19, 18, 21, 22, 23, 24, 25]",5599.0,0.04253411293029785,5255.0,2998131.0,inf,344.0
