archivo,grasp_mejorado_secuencia,grasp_mejorado_costo,grasp_mejorado_tiempo,bks,gap_grasp_mejorado,gap_percent
cgl_66.catsp,"[61, 66, 1, 2, 0, 3, 7, 6, 15, 17, 24, 13, 25, 4, 16, 26, 23, 14, 31, 18, 30, 27, 22, 29, 28, 11, 8, 12, 5, 19, 21, 20, 10, 32, 9, 33, 34, 35, 36, 37, 40, 41, 38, 39, 42, 43, 44, 45, 46, 48, 47, 50, 49, 52, 51, 53, 59, 60, 62, 63, 64, 65, 58, 54, 56, 57, 55]",7827.0,0.9787371158599854,8217.0,-390.0,-4.746257758305951
cgl_38.catsp,"[31, 10, 8, 6, 17, 12, 9, 16, 11, 7, 14, 20, 23, 21, 22, 13, 18, 24, 26, 28, 25, 29, 19, 15, 27, 32, 33, 30, 35, 38, 1, 0, 34, 36, 37, 3, 2, 4, 5]",4495.0,0.0740060806274414,3887.0,608.0,15.64188320041163
cgl_60.catsp,,inf,0.014030933380126953,10144.0,inf,inf
cgl_51b.catsp,"[30, 51, 9, 5, 10, 11, 4, 7, 12, 14, 15, 16, 20, 18, 19, 17, 13, 6, 3, 2, 34, 33, 32, 31, 0, 1, 29, 28, 27, 26, 24, 23, 25, 21, 22, 8, 35, 36, 37, 38, 39, 40, 41, 42, 49, 48, 46, 47, 50, 43, 44, 45]",6191.0,0.12377810478210449,4146.0,2045.0,49.32465026531597
cgl_44.catsp,,inf,0.00577998161315918,9418.0,inf,inf
cgl_81.catsp,,inf,0.026255130767822266,6816.0,inf,inf
cgl_58.catsp,"[13, 10, 17, 7, 16, 18, 11, 25, 6, 12, 22, 41, 44, 46, 39, 42, 40, 35, 49, 34, 37, 48, 51, 43, 53, 47, 55, 50, 33, 45, 38, 8, 15, 9, 20, 14, 5, 19, 24, 23, 21, 26, 36, 52, 54, 32, 56, 57, 58, 27, 28, 29, 30, 31, 4, 3, 2, 0, 1]",3753.0,1.086590051651001,3652.0,101.0,2.7656078860898137
cgl_43.catsp,"[39, 43, 10, 12, 6, 8, 11, 16, 18, 20, 21, 14, 23, 24, 22, 26, 15, 25, 17, 19, 29, 30, 28, 27, 32, 33, 31, 35, 34, 1, 0, 36, 37, 38, 40, 41, 42, 2, 13, 3, 4, 5, 7, 9]",6288.0,0.03235507011413574,4899.0,1389.0,28.35272504592774
cgl_47.catsp,,inf,0.013239145278930664,5046.0,inf,inf
cgl_26.catsp,,inf,0.003493070602416992,5255.0,inf,inf
cgl_114.catsp,,inf,0.0695810317993164,8685.0,inf,inf
cgl_45.catsp,"[6, 1, 0, 2, 3, 4, 5, 7, 11, 9, 10, 8, 12, 13, 14, 45, 15, 28, 19, 20, 22, 18, 23, 24, 21, 25, 26, 27, 16, 17, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",7727.0,0.015795230865478516,8154.0,-427.0,-5.236693647289674
cgl_78.catsp,,inf,0.01902008056640625,8985.0,inf,inf
cgl_28.catsp,"[2, 21, 7, 9, 5, 11, 4, 22, 23, 24, 25, 26, 27, 8, 10, 6, 3, 0, 1, 28, 13, 15, 14, 16, 17, 18, 19, 12, 20]",2295.0,0.10521602630615234,2833.0,-538.0,-18.990469466996117
cgl_50.catsp,,inf,0.004637241363525391,6155.0,inf,inf
cgl_17.catsp,,inf,0.001550912857055664,4422.0,inf,inf
cgl_33.catsp,,inf,0.0054666996002197266,9073.0,inf,inf
cgl_76.catsp,,inf,0.02703380584716797,9399.0,inf,inf
cgl_107.catsp,,inf,0.05077004432678223,5515.0,inf,inf
cgl_37.catsp,,inf,0.008217811584472656,4883.0,inf,inf
cgl_72.catsp,,inf,0.017431974411010742,7664.0,inf,inf
cgl_70.catsp,"[21, 8, 10, 9, 11, 14, 15, 12, 13, 16, 70, 0, 1, 2, 3, 4, 5, 6, 20, 26, 27, 39, 40, 25, 28, 30, 32, 56, 59, 69, 48, 49, 50, 35, 29, 31, 33, 34, 58, 54, 55, 53, 66, 67, 57, 64, 65, 68, 60, 61, 62, 63, 52, 51, 45, 46, 47, 44, 43, 37, 36, 38, 42, 41, 23, 24, 22, 7, 19, 18, 17]",12604.0,0.3302178382873535,9235.0,3369.0,36.48077964266378
cgl_32.catsp,"[3, 2, 1, 32, 7, 6, 9, 12, 10, 14, 8, 13, 11, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 5, 4, 27, 29, 31, 0, 28, 30]",3243.0,0.16684412956237793,4035.0,-792.0,-19.62825278810409
cgl_48.catsp,,inf,0.008116960525512695,9275.0,inf,inf
cgl_70b.catsp,,inf,0.026849031448364258,5454.0,inf,inf
cgl_88.catsp,,inf,0.028359174728393555,10431.0,inf,inf
cgl_51.catsp,,inf,0.00893092155456543,12498.0,inf,inf
cgl_48b.catsp,"[16, 7, 6, 5, 3, 4, 2, 0, 1, 38, 39, 37, 34, 32, 33, 35, 36, 48, 41, 40, 43, 44, 42, 45, 30, 31, 29, 28, 27, 46, 47, 25, 26, 24, 12, 11, 23, 22, 21, 20, 18, 19, 17, 15, 13, 14, 10, 8, 9]",5494.0,0.12430500984191895,4271.0,1223.0,28.634980098337625
cgl_73.catsp,,inf,0.01958489418029785,6263.0,inf,inf
cgl_57.catsp,"[5, 4, 6, 7, 9, 10, 8, 11, 12, 13, 14, 15, 17, 19, 21, 18, 33, 32, 2, 1, 3, 0, 16, 25, 31, 27, 26, 28, 30, 29, 57, 20, 22, 23, 24, 34, 35, 37, 40, 41, 36, 52, 51, 42, 45, 46, 43, 44, 48, 47, 49, 50, 38, 39, 53, 54, 56, 55]",11131.0,0.036885976791381836,7999.0,3132.0,39.15489436179522
