solver,estado,costo,tiempo,arcos,num_arcos,error,archivo,archivo_corregido,start_node,end_node,timestamp
gurobi,solved,810.0,0.2564406394958496,"[(0, 2), (1, 3), (2, 1)]",3,,data.dat,True,0,3,2025-06-25 20:46:23.499346
highs,solved,810.0,0.2994201183319092,"[(0, 2), (1, 3), (2, 1)]",3,,data.dat,True,0,3,2025-06-25 20:46:23.865777
cplex,failure,0.0,0.0025196075439453125,[],0,,data.dat,True,0,3,2025-06-25 20:46:23.934502
gurobi,solved,2008.0,0.2556736469268799,"[(0, 1), (1, 2), (2, 3), (3, 4)]",4,,data_5.dat,True,0,4,2025-06-25 20:46:24.411086
highs,solved,2008.0,0.22564959526062012,"[(0, 1), (1, 2), (2, 3), (3, 4)]",4,,data_5.dat,True,0,4,2025-06-25 20:46:24.701080
cplex,failure,0.0,0.0030057430267333984,[],0,,data_5.dat,True,0,4,2025-06-25 20:46:24.772198
gurobi,solved,2008.0,0.2623305320739746,"[(0, 1), (1, 2), (2, 3), (3, 4)]",4,,data_5_corregido.dat,False,0,4,2025-06-25 20:46:25.153344
highs,solved,2008.0,0.21585321426391602,"[(0, 1), (1, 2), (2, 3), (3, 4)]",4,,data_5_corregido.dat,False,0,4,2025-06-25 20:46:25.429097
cplex,failure,0.0,0.004009246826171875,[],0,,data_5_corregido.dat,False,0,4,2025-06-25 20:46:25.526424
gurobi,solved,1487.0,0.3459920883178711,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]",5,,data_6.dat,True,0,5,2025-06-25 20:46:26.008455
highs,solved,1487.0,0.22865009307861328,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]",5,,data_6.dat,True,0,5,2025-06-25 20:46:26.298811
cplex,failure,0.0,0.0024073123931884766,[],0,,data_6.dat,True,0,5,2025-06-25 20:46:26.357379
gurobi,solved,1487.0,1.18526029586792,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]",5,,data_6_corregido.dat,False,0,5,2025-06-25 20:46:27.670549
highs,solved,1487.0,0.1918964385986328,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]",5,,data_6_corregido.dat,False,0,5,2025-06-25 20:46:27.921030
cplex,failure,0.0,0.0020198822021484375,[],0,,data_6_corregido.dat,False,0,5,2025-06-25 20:46:27.984470
gurobi,solved,2225.0,0.22403311729431152,"[(0, 3), (1, 5), (2, 6), (3, 1), (4, 2), (5, 4)]",6,,data_7.dat,True,0,6,2025-06-25 20:46:28.362830
