solver,estado,costo,tiempo,arcos,num_arcos,error,archivo,archivo_corregido,start_node,end_node,timestamp
gurobi,solved,810.0,0.19561290740966797,"[(0, 2), (1, 3), (2, 1)]",3,,data.dat,True,0,3,2025-06-25 21:51:59.028627
highs,solved,810.0,0.1552433967590332,"[(0, 2), (1, 3), (2, 1)]",3,,data.dat,True,0,3,2025-06-25 21:51:59.245776
cplex,failure,0.0,0.0010066032409667969,[],0,,data.dat,True,0,3,2025-06-25 21:51:59.300914
gurobi,solved,2008.0,0.2101731300354004,"[(0, 1), (1, 2), (2, 3), (3, 4)]",4,,data_5.dat,True,0,4,2025-06-25 21:51:59.696792
highs,solved,2008.0,0.16397428512573242,"[(0, 1), (1, 2), (2, 3), (3, 4)]",4,,data_5.dat,True,0,4,2025-06-25 21:51:59.920721
cplex,failure,0.0,0.002001523971557617,[],0,,data_5.dat,True,0,4,2025-06-25 21:51:59.984895
gurobi,solved,2008.0,0.23314523696899414,"[(0, 1), (1, 2), (2, 3), (3, 4)]",4,,data_5_corregido.dat,False,0,4,2025-06-25 21:52:00.348572
highs,solved,2008.0,0.17638278007507324,"[(0, 1), (1, 2), (2, 3), (3, 4)]",4,,data_5_corregido.dat,False,0,4,2025-06-25 21:52:00.584832
cplex,failure,0.0,0.0020020008087158203,[],0,,data_5_corregido.dat,False,0,4,2025-06-25 21:52:00.645568
gurobi,solved,1487.0,0.2017803192138672,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]",5,,data_6.dat,True,0,5,2025-06-25 21:52:00.965630
highs,solved,1487.0,0.19555187225341797,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]",5,,data_6.dat,True,0,5,2025-06-25 21:52:01.215659
cplex,failure,0.0,0.002512216567993164,[],0,,data_6.dat,True,0,5,2025-06-25 21:52:01.280912
gurobi,solved,1487.0,0.2744779586791992,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]",5,,data_6_corregido.dat,False,0,5,2025-06-25 21:52:01.669165
highs,solved,1487.0,0.16768765449523926,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]",5,,data_6_corregido.dat,False,0,5,2025-06-25 21:52:01.889596
cplex,failure,0.0,0.0009996891021728516,[],0,,data_6_corregido.dat,False,0,5,2025-06-25 21:52:01.959580
gurobi,solved,2225.0,0.20534157752990723,"[(0, 3), (1, 5), (2, 6), (3, 1), (4, 2), (5, 4)]",6,,data_7.dat,True,0,6,2025-06-25 21:52:02.281051
highs,solved,2225.0,0.17523670196533203,"[(0, 3), (1, 5), (2, 6), (3, 1), (4, 2), (5, 4)]",6,,data_7.dat,True,0,6,2025-06-25 21:52:02.515093
cplex,failure,0.0,0.002002239227294922,[],0,,data_7.dat,True,0,6,2025-06-25 21:52:02.577722
gurobi,solved,2225.0,0.20574069023132324,"[(0, 3), (1, 5), (2, 6), (3, 1), (4, 2), (5, 4)]",6,,data_7_corregido.dat,False,0,6,2025-06-25 21:52:02.888187
highs,solved,2225.0,0.1719973087310791,"[(0, 3), (1, 5), (2, 6), (3, 1), (4, 2), (5, 4)]",6,,data_7_corregido.dat,False,0,6,2025-06-25 21:52:03.114764
cplex,failure,0.0,0.0025110244750976562,[],0,,data_7_corregido.dat,False,0,6,2025-06-25 21:52:03.173149
gurobi,solved,2978.0,0.23136472702026367,"[(0, 2), (1, 6), (2, 4), (3, 1), (4, 3), (5, 7), (6, 5)]",7,,data_8.dat,True,0,7,2025-06-25 21:52:03.510541
highs,solved,2978.0,0.1727886199951172,"[(0, 2), (1, 6), (2, 4), (3, 1), (4, 3), (5, 7), (6, 5)]",7,,data_8.dat,True,0,7,2025-06-25 21:52:03.743790
cplex,failure,0.0,0.0030045509338378906,[],0,,data_8.dat,True,0,7,2025-06-25 21:52:03.799184
