solver,estado,costo,tiempo,arcos,num_arcos,error,archivo,archivo_corregido,start_node,end_node,timestamp
gurobi,solved,810.0,0.2994518280029297,"[(0, 2), (1, 3), (2, 1)]",3,,data.dat,True,0,3,2025-06-25 20:46:39.369811
highs,solved,810.0,0.2035694122314453,"[(0, 2), (1, 3), (2, 1)]",3,,data.dat,True,0,3,2025-06-25 20:46:39.659005
gurobi,solved,2008.0,0.29413509368896484,"[(0, 1), (1, 2), (2, 3), (3, 4)]",4,,data_5.dat,True,0,4,2025-06-25 20:46:40.201127
highs,solved,2008.0,0.20928382873535156,"[(0, 1), (1, 2), (2, 3), (3, 4)]",4,,data_5.dat,True,0,4,2025-06-25 20:46:40.474508
gurobi,solved,2008.0,0.23442578315734863,"[(0, 1), (1, 2), (2, 3), (3, 4)]",4,,data_5_corregido.dat,False,0,4,2025-06-25 20:46:40.839121
highs,solved,2008.0,0.23656558990478516,"[(0, 1), (1, 2), (2, 3), (3, 4)]",4,,data_5_corregido.dat,False,0,4,2025-06-25 20:46:41.131093
gurobi,solved,1487.0,0.365633487701416,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]",5,,data_6.dat,True,0,5,2025-06-25 20:46:41.635934
highs,solved,1487.0,0.19910812377929688,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]",5,,data_6.dat,True,0,5,2025-06-25 20:46:41.895427
gurobi,solved,1487.0,0.3206508159637451,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]",5,,data_6_corregido.dat,False,0,5,2025-06-25 20:46:42.357582
highs,solved,1487.0,0.1804671287536621,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]",5,,data_6_corregido.dat,False,0,5,2025-06-25 20:46:42.600740
gurobi,solved,2225.0,0.22594523429870605,"[(0, 3), (1, 5), (2, 6), (3, 1), (4, 2), (5, 4)]",6,,data_7.dat,True,0,6,2025-06-25 20:46:42.953930
highs,solved,2225.0,0.18934202194213867,"[(0, 3), (1, 5), (2, 6), (3, 1), (4, 2), (5, 4)]",6,,data_7.dat,True,0,6,2025-06-25 20:46:43.206134
gurobi,solved,2225.0,0.2477428913116455,"[(0, 3), (1, 5), (2, 6), (3, 1), (4, 2), (5, 4)]",6,,data_7_corregido.dat,False,0,6,2025-06-25 20:46:43.587744
highs,solved,2225.0,0.1868281364440918,"[(0, 3), (1, 5), (2, 6), (3, 1), (4, 2), (5, 4)]",6,,data_7_corregido.dat,False,0,6,2025-06-25 20:46:43.833034
gurobi,solved,2978.0,0.24931645393371582,"[(0, 2), (1, 6), (2, 4), (3, 1), (4, 3), (5, 7), (6, 5)]",7,,data_8.dat,True,0,7,2025-06-25 20:46:44.210986
highs,solved,2978.0,0.21273326873779297,"[(0, 2), (1, 6), (2, 4), (3, 1), (4, 3), (5, 7), (6, 5)]",7,,data_8.dat,True,0,7,2025-06-25 20:46:44.499308
gurobi,solved,2978.0,0.37895655632019043,"[(0, 2), (1, 6), (2, 4), (3, 1), (4, 3), (5, 7), (6, 5)]",7,,data_8_corregido.dat,False,0,7,2025-06-25 20:46:46.773162
highs,solved,2978.0,0.21369290351867676,"[(0, 2), (1, 6), (2, 4), (3, 1), (4, 3), (5, 7), (6, 5)]",7,,data_8_corregido.dat,False,0,7,2025-06-25 20:46:47.041923
gurobi,solved,5602.0,0.379976749420166,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 9), (8, 16), (9, 15), (10, 12), (11, 14), (12, 8), (13, 10), (14, 13), (15, 11)]",16,,data_cgl_17.dat,True,0,16,2025-06-25 20:46:47.561209
highs,solved,5602.0,1.4535200595855713,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 15), (8, 9), (9, 13), (10, 11), (11, 8), (12, 14), (13, 12), (14, 16), (15, 10)]",16,,data_cgl_17.dat,True,0,16,2025-06-25 20:46:49.079194
gurobi,solved,5602.0,0.34975123405456543,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 9), (8, 16), (9, 15), (10, 12), (11, 14), (12, 8), (13, 10), (14, 13), (15, 11)]",16,,data_cgl_17_corregido.dat,False,0,16,2025-06-25 20:46:49.567599
highs,solved,5602.0,1.3584814071655273,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 15), (8, 9), (9, 13), (10, 11), (11, 8), (12, 14), (13, 12), (14, 16), (15, 10)]",16,,data_cgl_17_corregido.dat,False,0,16,2025-06-25 20:46:50.992178
gurobi,solved,810.0,0.23273420333862305,"[(0, 2), (1, 3), (2, 1)]",3,,data_corregido.dat,False,0,3,2025-06-25 20:46:51.365143
highs,solved,810.0,0.19014811515808105,"[(0, 2), (1, 3), (2, 1)]",3,,data_corregido.dat,False,0,3,2025-06-25 20:46:51.618988
