solver,estado,costo,tiempo,arcos,num_arcos,error,archivo,archivo_corregido,start_node,end_node,timestamp
gurobi,solved,810.0,0.21084165573120117,"[(0, 2), (1, 3), (2, 1)]",3,,data.dat,True,0,3,2025-06-25 21:45:02.482602
highs,solved,810.0,0.1615762710571289,"[(0, 2), (1, 3), (2, 1)]",3,,data.dat,True,0,3,2025-06-25 21:45:02.706711
cplex,failure,0.0,0.0019979476928710938,[],0,,data.dat,True,0,3,2025-06-25 21:45:02.762389
gurobi,solved,2008.0,0.19487452507019043,"[(0, 1), (1, 2), (2, 3), (3, 4)]",4,,data_5.dat,True,0,4,2025-06-25 21:45:03.138177
highs,solved,2008.0,0.17127513885498047,"[(0, 1), (1, 2), (2, 3), (3, 4)]",4,,data_5.dat,True,0,4,2025-06-25 21:45:03.369773
cplex,failure,0.0,0.0015134811401367188,[],0,,data_5.dat,True,0,4,2025-06-25 21:45:03.431417
gurobi,solved,2008.0,0.24418163299560547,"[(0, 1), (1, 2), (2, 3), (3, 4)]",4,,data_5_corregido.dat,False,0,4,2025-06-25 21:45:03.794748
highs,solved,2008.0,0.18535542488098145,"[(0, 1), (1, 2), (2, 3), (3, 4)]",4,,data_5_corregido.dat,False,0,4,2025-06-25 21:45:04.041844
cplex,failure,0.0,0.0030434131622314453,[],0,,data_5_corregido.dat,False,0,4,2025-06-25 21:45:04.107488
gurobi,solved,1487.0,0.20599079132080078,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]",5,,data_6.dat,True,0,5,2025-06-25 21:45:04.422250
highs,solved,1487.0,0.16249728202819824,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]",5,,data_6.dat,True,0,5,2025-06-25 21:45:04.637091
cplex,failure,0.0,0.0019991397857666016,[],0,,data_6.dat,True,0,5,2025-06-25 21:45:04.691966
gurobi,solved,1487.0,0.22582173347473145,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]",5,,data_6_corregido.dat,False,0,5,2025-06-25 21:45:05.033928
highs,solved,1487.0,0.19375181198120117,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]",5,,data_6_corregido.dat,False,0,5,2025-06-25 21:45:05.288709
cplex,failure,0.0,0.0030002593994140625,[],0,,data_6_corregido.dat,False,0,5,2025-06-25 21:45:05.350087
gurobi,solved,2225.0,0.24410367012023926,"[(0, 3), (1, 5), (2, 6), (3, 1), (4, 2), (5, 4)]",6,,data_7.dat,True,0,6,2025-06-25 21:45:05.714705
highs,solved,2225.0,0.17968201637268066,"[(0, 3), (1, 5), (2, 6), (3, 1), (4, 2), (5, 4)]",6,,data_7.dat,True,0,6,2025-06-25 21:45:05.950511
cplex,failure,0.0,0.0030307769775390625,[],0,,data_7.dat,True,0,6,2025-06-25 21:45:06.009091
gurobi,solved,2225.0,0.21343636512756348,"[(0, 3), (1, 5), (2, 6), (3, 1), (4, 2), (5, 4)]",6,,data_7_corregido.dat,False,0,6,2025-06-25 21:45:06.444861
highs,solved,2225.0,0.1805434226989746,"[(0, 3), (1, 5), (2, 6), (3, 1), (4, 2), (5, 4)]",6,,data_7_corregido.dat,False,0,6,2025-06-25 21:45:06.683107
cplex,failure,0.0,0.0029997825622558594,[],0,,data_7_corregido.dat,False,0,6,2025-06-25 21:45:06.745067
gurobi,solved,2978.0,0.21915054321289062,"[(0, 2), (1, 6), (2, 4), (3, 1), (4, 3), (5, 7), (6, 5)]",7,,data_8.dat,True,0,7,2025-06-25 21:45:07.081292
highs,solved,2978.0,0.1782395839691162,"[(0, 2), (1, 6), (2, 4), (3, 1), (4, 3), (5, 7), (6, 5)]",7,,data_8.dat,True,0,7,2025-06-25 21:45:07.313164
cplex,failure,0.0,0.0020003318786621094,[],0,,data_8.dat,True,0,7,2025-06-25 21:45:07.374883
gurobi,solved,2978.0,0.22723817825317383,"[(0, 2), (1, 6), (2, 4), (3, 1), (4, 3), (5, 7), (6, 5)]",7,,data_8_corregido.dat,False,0,7,2025-06-25 21:45:09.814075
highs,solved,2978.0,0.16994118690490723,"[(0, 2), (1, 6), (2, 4), (3, 1), (4, 3), (5, 7), (6, 5)]",7,,data_8_corregido.dat,False,0,7,2025-06-25 21:45:10.052051
cplex,failure,0.0,0.002501249313354492,[],0,,data_8_corregido.dat,False,0,7,2025-06-25 21:45:10.109351
gurobi,solved,5602.0,0.31648921966552734,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 9), (8, 16), (9, 15), (10, 12), (11, 14), (12, 8), (13, 10), (14, 13), (15, 11)]",16,,data_cgl_17.dat,True,0,16,2025-06-25 21:45:10.532476
highs,solved,5602.0,1.2200751304626465,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 15), (8, 9), (9, 13), (10, 11), (11, 8), (12, 14), (13, 12), (14, 16), (15, 10)]",16,,data_cgl_17.dat,True,0,16,2025-06-25 21:45:11.815017
cplex,failure,0.0,0.003513813018798828,[],0,,data_cgl_17.dat,True,0,16,2025-06-25 21:45:11.877090
gurobi,solved,5602.0,0.31164026260375977,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 9), (8, 16), (9, 15), (10, 12), (11, 14), (12, 8), (13, 10), (14, 13), (15, 11)]",16,,data_cgl_17_corregido.dat,False,0,16,2025-06-25 21:45:12.294745
highs,solved,5602.0,1.173828363418579,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 15), (8, 9), (9, 13), (10, 11), (11, 8), (12, 14), (13, 12), (14, 16), (15, 10)]",16,,data_cgl_17_corregido.dat,False,0,16,2025-06-25 21:45:13.519538
cplex,failure,0.0,0.0030028820037841797,[],0,,data_cgl_17_corregido.dat,False,0,16,2025-06-25 21:45:13.573309
gurobi,solved,810.0,0.2223677635192871,"[(0, 2), (1, 3), (2, 1)]",3,,data_corregido.dat,False,0,3,2025-06-25 21:45:13.904965
highs,solved,810.0,0.23358583450317383,"[(0, 2), (1, 3), (2, 1)]",3,,data_corregido.dat,False,0,3,2025-06-25 21:45:14.190627
cplex,failure,0.0,0.0025157928466796875,[],0,,data_corregido.dat,False,0,3,2025-06-25 21:45:14.246869
