solver,estado,costo,tiempo,arcos,num_arcos,error,archivo,archivo_corregido,start_node,end_node,timestamp
gurobi,solved,810.0,0.22104811668395996,"[(0, 2), (1, 3), (2, 1)]",3,,data.dat,True,0,3,2025-06-25 21:16:08.096237
highs,solved,810.0,0.1576235294342041,"[(0, 2), (1, 3), (2, 1)]",3,,data.dat,True,0,3,2025-06-25 21:16:08.305072
cplex,failure,0.0,0.0025115013122558594,[],0,,data.dat,True,0,3,2025-06-25 21:16:08.367532
gurobi,solved,2008.0,0.21310901641845703,"[(0, 1), (1, 2), (2, 3), (3, 4)]",4,,data_5.dat,True,0,4,2025-06-25 21:16:08.745080
highs,solved,2008.0,0.18016529083251953,"[(0, 1), (1, 2), (2, 3), (3, 4)]",4,,data_5.dat,True,0,4,2025-06-25 21:16:08.984161
cplex,failure,0.0,0.0030088424682617188,[],0,,data_5.dat,True,0,4,2025-06-25 21:16:09.043097
gurobi,solved,2008.0,0.1969287395477295,"[(0, 1), (1, 2), (2, 3), (3, 4)]",4,,data_5_corregido.dat,False,0,4,2025-06-25 21:16:09.346202
highs,solved,2008.0,0.18291807174682617,"[(0, 1), (1, 2), (2, 3), (3, 4)]",4,,data_5_corregido.dat,False,0,4,2025-06-25 21:16:09.580358
cplex,failure,0.0,0.003992557525634766,[],0,,data_5_corregido.dat,False,0,4,2025-06-25 21:16:09.654985
gurobi,solved,1487.0,0.21901679039001465,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]",5,,data_6.dat,True,0,5,2025-06-25 21:16:10.002006
highs,solved,1487.0,0.17522144317626953,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]",5,,data_6.dat,True,0,5,2025-06-25 21:16:10.231786
cplex,failure,0.0,0.0023033618927001953,[],0,,data_6.dat,True,0,5,2025-06-25 21:16:10.287587
gurobi,solved,1487.0,0.2165231704711914,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]",5,,data_6_corregido.dat,False,0,5,2025-06-25 21:16:10.616350
highs,solved,1487.0,0.17520427703857422,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]",5,,data_6_corregido.dat,False,0,5,2025-06-25 21:16:10.850144
cplex,failure,0.0,0.002001523971557617,[],0,,data_6_corregido.dat,False,0,5,2025-06-25 21:16:10.905080
gurobi,solved,2225.0,0.21645331382751465,"[(0, 3), (1, 5), (2, 6), (3, 1), (4, 2), (5, 4)]",6,,data_7.dat,True,0,6,2025-06-25 21:16:11.243768
highs,solved,2225.0,0.17796826362609863,"[(0, 3), (1, 5), (2, 6), (3, 1), (4, 2), (5, 4)]",6,,data_7.dat,True,0,6,2025-06-25 21:16:11.475427
cplex,failure,0.0,0.002507448196411133,[],0,,data_7.dat,True,0,6,2025-06-25 21:16:11.528961
gurobi,solved,2225.0,0.19626832008361816,"[(0, 3), (1, 5), (2, 6), (3, 1), (4, 2), (5, 4)]",6,,data_7_corregido.dat,False,0,6,2025-06-25 21:16:11.843771
highs,solved,2225.0,0.16991877555847168,"[(0, 3), (1, 5), (2, 6), (3, 1), (4, 2), (5, 4)]",6,,data_7_corregido.dat,False,0,6,2025-06-25 21:16:12.065179
cplex,failure,0.0,0.0030024051666259766,[],0,,data_7_corregido.dat,False,0,6,2025-06-25 21:16:12.121365
gurobi,solved,2978.0,0.2135462760925293,"[(0, 2), (1, 6), (2, 4), (3, 1), (4, 3), (5, 7), (6, 5)]",7,,data_8.dat,True,0,7,2025-06-25 21:16:12.441797
highs,solved,2978.0,0.17779302597045898,"[(0, 2), (1, 6), (2, 4), (3, 1), (4, 3), (5, 7), (6, 5)]",7,,data_8.dat,True,0,7,2025-06-25 21:16:12.672320
cplex,failure,0.0,0.0032203197479248047,[],0,,data_8.dat,True,0,7,2025-06-25 21:16:12.727231
gurobi,solved,2978.0,0.2071516513824463,"[(0, 2), (1, 6), (2, 4), (3, 1), (4, 3), (5, 7), (6, 5)]",7,,data_8_corregido.dat,False,0,7,2025-06-25 21:16:15.145543
highs,solved,2978.0,0.18395733833312988,"[(0, 2), (1, 6), (2, 4), (3, 1), (4, 3), (5, 7), (6, 5)]",7,,data_8_corregido.dat,False,0,7,2025-06-25 21:16:15.400074
cplex,failure,0.0,0.003325223922729492,[],0,,data_8_corregido.dat,False,0,7,2025-06-25 21:16:15.456580
gurobi,solved,5602.0,0.29969143867492676,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 9), (8, 16), (9, 15), (10, 12), (11, 14), (12, 8), (13, 10), (14, 13), (15, 11)]",16,,data_cgl_17.dat,True,0,16,2025-06-25 21:16:15.877544
